Metric ID,Group,Metrics Category,Metric,Definition / Description,Formula,Numerator,Denominator,Application v2,Application,Analysis,Analysis Subtype,A[i]gent,Commentary / Interpretation,Data Source - Object,Data Source - Field,Data Store - Object,Data Store - Field,Time Rule,Transformation/ Import Logic,Tags,Notes
18.11,Workforce Planning,Operational Performance,Staffing Breakdown by Function ,Distribution of headcount by function at the end of the reporting period.,(End of Period Headcount.[Function] / End of Period Headcount) * 100,End of Period Headcount.[Function],End of Period Headcount,,,,,,"Function Staffing Breakdown provides the percentages of the workforce staffed within each organizational function, such as sales, finance, information technology, engineering, manufacturing, etc. Graphically, the data are presented as a percentage of the total workforce, i.e., a stacked bar graph.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.12,Workforce Planning,Operational Performance,Staffing Breakdown by Employment Level,"Distribution of headcount by employment level (e.g., exempt/non-exempt or salaried/hourly) at the end of reporting period.",(End of Period Headcount.[Employment Level] / End of Period Headcount) *100,End of Period Headcount.[Employment Level,End of Period Headcount,,,,,,"Employment Level Staffing Breakdown provides the percentages of the workforce within each employment level, typically exempt and non-exempt within a U.S. workforce (alternatively, salaried and hourly). Graphically, the data are presented as a percentage of the total workforce, i.e., a stacked bar graph.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.14,Workforce Planning,Operational Performance,Staffing Breakdown by EEO Job Category,Distribution of headcount by EEO Job Category at the end of reporting period.,(End of Period Headcount.[EEO Job Category] / End of Period Headcount) *100,End of Period Headcount.[EEO Job Category] ,End of Period Headcount,,,,,,"EEO Job Category Staffing Breakdown provides the percentages of the workforce within each EEO job category for United States employers who report workforce figures to the Equal Employment Opportunity Commission. Graphically, the data are presented as a percentage of the total workforce, i.e., a stacked bar graph.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.16,Workforce Planning,Operational Performance,Manager - Span of Control Average,Average number of direct reports for each supervisor.,Total Span of Control.All Supervisors / End of Period Headcount.Supervisors,Total Span of Control.All Supervisors,End of Period Headcount.Supervisors,,Organizational design analysis used to assess managerial load and automation leverage opportunities.,,,, A result of five means that supervisors have an average of five direct reports.,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.17,Workforce Planning,Operational Performance,"Workforce Composition % - Disability, Gender, Minority, Multilingual (%of Workforce)",Percentage of employees at the end of the period that speak more than one language.,(End of Period Headcount.Multilingual / End of Period Headcount) * 100,End of Period Headcount.Multilingual,End of Period Headcount,,,,,,"A result of 20% means that 20% of employees speak at least two languages. An organization may also create variations on this measure that relate to specific languages, e.g., Staffing Rate——Spanish Speaking.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
1.05,Workforce Planning,Operational Performance,Absence - PTO Utilization Rate (%Use),Paid time off hours taken as a percentage of those hours earned during the reporting period.,(PTO Hours.Used / PTO Hours.Accrued) * 100,#PTO Hours.Used,#PTO Hours.Accrued,,"Finance Forecasting, Staffing Resource Planning",,,,"A result of 80% means that for every 10 hours of PTO that employees accrue, they are only taking eight hours off.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
1.06,Workforce Planning,Cost Efficiency,Absences (Unscheduled) Compensation Value Per FTE,Average compensation cost of unscheduled absences per full-time equivalent employee.,(Unscheduled Absence Days * Direct Compensation.Daily) / FTE,Unscheduled Absence Days * Direct Compensation.Daily,FTE,,,,,,"For example, a result of $500 means that the compensation costs of employees’’ unscheduled absences, spread across all employees, averaged $500 per employee. Put differently, a result of $500 means that during the period, the organization paid $500 per FTE in compensation for unscheduled absences.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
1.07,Workforce Planning,Operational Performance,Absence Rate (%of Work Time),Total days of employee absence as a percentage of total expected workdays during the reporting period.,(Absence Days / Workdays) * 100,#Absence Days,#Workdays,,,,,,"Absence Rate indicates the percentage of work time, expressed as workdays, that the average employee is absent for any reason during a period. A result of 3% means that absences total 3% of all workdays. Or, put differently, on an average day, 3 of every 100 employees are absent.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
10.01,Organizational Effectiveness,Cost Efficiency,R&D Espense Rate (%of Ops Expense),Research and development (R&D) expense as a percentage of total operating expense.,(R&D Expense / Operating Expense) * 100,R&D Expense,Operating Expense,,,,,,A result of 10% means that R&D expenses represented 10% of the organization’s total operating expenses,Finance — Cost Centers,,,, Last 4 completed quarters ,COUNT employees by org_unit; calculate ratio per defined hierarchy level,"org_design, structure, leadership_density, span_of_control",
10.02,Organizational Effectiveness,Outcome & Impact,New Products & Services Revenue Per FTE,Average new products and services operating revenue per full-time equivalent employee.,Operating Revenue.New Products & Services / FTE,Operating Revenue.New Products & Services,#FTE,,,,,,"New Products and Services Revenue per FTE indicates the dollar amount of revenue generated specifically by new products and services, relative to the size of the workforce. New Products and Services Revenue is a subset of Operating Revenue, relating only to specific products and services.",Finance — Cost Centers,,,, Last 4 completed quarters ,GROUP by org_unit; aggregate headcount,"org_design, structure, leadership_density, span_of_control",
10.07,Organizational Effectiveness,Operational Performance,Throughput per FTE,Volume of completed standard work items per FTE per week.,count( completed_items ) / count( FTE ),Completed items,FTE count,,,,,,,HRIS – Performance Management,,,, Last 4 completed quarters ,GROUP by org_unit; aggregate headcount,"org_design, structure, leadership_density, span_of_control",Normalize by complexity if available.
10.09,Organizational Effectiveness,Cost Efficiency,Contingent Labor Rate (%Ops Expense),Other labor costs as a percentage of total operating expense.,(Other Labor Expense / Operating Expense) * 100,Contingent Labor Expense,Operating Expense,,,,,,"Other Labor, sometimes called contingent labor, is the workforce used by the organization to generate its revenue and profit but not represented as employees with a reporting system such as an HRIS.",Finance — Cost Centers,,,, Last 4 completed quarters ,COUNT employees by org_unit; calculate ratio per defined hierarchy level,"org_design, structure, leadership_density, span_of_control",
10.10,Organizational Effectiveness,Outcome & Impact,Operating Revenue Per FTE,Average operating revenue per full-time equivalent employee.,Operating Revenue / FTE,Operating Revenue,#FTE,,,,,,,Finance — Cost Centers,,,, Last 4 completed quarters ,GROUP by org_unit; aggregate headcount,"org_design, structure, leadership_density, span_of_control",
10.11,Organizational Effectiveness,Outcome & Impact,Operating Profit Per FTE,"Average operating profit (before tax, interest, and depreciation) per full-time equivalent employee.",Operating Profit / FTE,Operating Profit,#FTE,,,,,,,Finance — Cost Centers,,,, Last 4 completed quarters ,GROUP by org_unit; aggregate headcount,"org_design, structure, leadership_density, span_of_control",
10.12,Organizational Effectiveness,Cost Efficiency,Operating Expense Per FTE,Average operating expense per full-time equivalent employee,Operating Expense / FTE,Operating Expense,#FTE,,,,,,,Finance — Cost Centers,,,, Last 4 completed quarters ,GROUP by org_unit; aggregate headcount,"org_design, structure, leadership_density, span_of_control",
10.13,Organizational Effectiveness,Outcome & Impact,ROI - Human Investment Ratio,"Ratio of operating profit, adding back total compensation expense, returned for every dollar invested in employee compensation and benefits.",(Operating Profit + Total Compensation Expense) / Total Compensation Expense,Operating Profit,Total Compensation Expense,,,,,,,Finance — Cost Centers,,,, Last 4 completed quarters ,COUNT employees by org_unit; calculate ratio per defined hierarchy level,"org_design, structure, leadership_density, span_of_control",
3.07,Compenstion & Benefits,Operational Performance,Salary Change Rate - Upward (%of Workforce),Percentage of employees receiving base salary increases during the reporting period.,End of Period Headcount.Base Salary Increase / End of Period Headcount * 100,End of Period Headcount.Base Salary Increase,#End of Period Headcount,,,,,,,Payroll — Earnings Ledger,,,,End-of-Period Snapshot,SUM value; divide by eligible headcount where applicable,"compensation, rewards",
2.02,Compenstion & Benefits,Sentiment & Experience,Benefits Satisfaction Index,A relative measure of employees’ satisfaction with the benefits provided by the organization.,Survey,Survey,Survey,Employee satisfaction with benefits programs to monitor competitiveness and retention risk.,CSAT,Employee Satisfaction,Employee Satisfaction,Listening A[i]gent,"Benefits Satisfaction Index is a measure of employees’ overall satisfaction with benefits, such as medical insurance, dental insurance, disability insurance, child care, commuting, concierge, tuition reimbursement, or other benefit programs. Variations of this measure may present the results of individual survey questions (e.g., percentage of workforce rating medical benefits as “excellent”) or other subindexes of this overall satisfaction indicator.",Survey,Benefits satisfaction item(s),survey_responses,benefits_satisfaction_score,Last 4 completed quarters,Normalize Likert scale to 0–100 | Reverse-score if needed | Average across benefits items | Require minimum response threshold,"Survey, Rewards, Retention Risk",
3.15,Compenstion & Benefits,Sentiment & Experience,Compensation Satisfaction Index,A relative measure of employees satisfaction with compensation.,Survey,Survey,Survey,Track perceived fairness and competitiveness of compensation and identify populations at pay dissatisfaction risk.,CSAT,Employee Satisfaction,Employee Satisfaction,Listening A[i]gent,"Compensation Satisfaction Index is a subjective measure of employees’ satisfaction with compensation packages. Among employee survey results, many organizations find that employees report low satisfaction with compensation. Though employers may not expect high results, the measure can be tracked over time to monitor in if satisfaction is increasing or decreasing. However, these survey results can be used to compare specific employee populations by division, location, job family, age group, performance level, etc.",Survey,Compensation satisfaction item(s) , survey_responses , compensation_satisfaction_score ,Last 4 completed quarters,"Normalize Likert scale to 0–100 |  Reverse-score if needed 	 Average across compensation items 	 Require minimum response threshold 	 ","Survey, Rewards, Retention Risk 	 ","Track by job level, function, and performance tier.		"
9.07,Culture & Engagement,Sentiment & Experience,Employee Satisfaction with Leadership,Gauge of employee satisfaction with organizational leaders,Survey,Survey,Survey,"Evaluate trust, confidence, and satisfaction with organizational leadership effectiveness.",,Employee Satisfaction,Employee Satisfaction,Listening A[i]gent,"Employee Satisfaction with Leadership represents a survey index or set of questions for employees to express their satisfaction with the organization’s leadership. Such a measure or index may be titled differently, depending on the survey used. While the measure called Manager Quality Index relates to employees’ opinions of their direct managers, Employee Satisfaction with Leadership looks more broadly at employees’ opinions about the leadership of their business line, function, and area, as well as the leadership of the organization as a whole. The opinions solicited from relevant survey questions typically relate to leaders’ competencies and skills (e.g., communication, subject mastery, employee development, personality, decision making), their ability to inspire confidence and trust and motivate performance, and the appropriateness of the business strategy being pursued.",Survey,Leadership satisfaction item(s) , survey_responses , leadership_satisfaction_score , Last 4 completed quarters ," Normalize Likert scale to 0–100  Average leadership-related items 	 Minimum response threshold ","engagement, sentiment, Survey, Leadership, Culture ", Separate from direct manager quality metrics.
13.01,Culture & Engagement,Sentiment & Experience,Employee Engagement Index,Relative measure of employee's engagement in their work.,Survey,Survey,Survey,Measure discretionary effort and workforce energy to predict productivity and performance outcomes.,Measurement of employee engagement for purposes of predicting productivity and/or as a tool for analytically deriving the reasons for low engagement so they can be addressed before they lead to low productivity.,Employee Satisfaction,Engagement,Listening A[i]gent,"Organizations typically measure employee engagement using survey results. Each survey will likely have a different set of questions or methodologies for measuring employee engagement. The Employee Engagement Index measures employees’ engagement with their jobs or day-to-day work. It is based on survey questions that assess factors such as the effort and enthusiasm they put into their daily activities. It is designed to measure the extent to which employees contribute their discretionary effort to the firm. Employee engagement is thus distinct from employee commitment, which measures attachment to the firm and views of the firm as a great place to work.",Survey,Engagement scale item(s) , survey_responses , engagement_index , Last 4 completed quarters ," Normalize validated engagement scale to 0–100  Composite index 	 Minimum response threshold ","engagement, sentiment, Survey, Engagement, Productivity ", Predictive of productivity and performance outcomes.
17.06,Culture & Engagement,Outcome & Impact,Market Opportunity Index,Relative measure of employees' perceptions of labor market opportunities outside the organization.,Survey,Survey,Survey,Gauge perceived external job opportunities as an external driver of turnover risk.,employee perceptions of external opportunities for purposes of predicting employee turnover and/or as a tool for analytically deriving the reasons for low commitment so they can be addressed before they lead to turnover issues.,External Opportunities / Threats,External Opportunities / Threats,Listening A[i]gent,"Organizations typically measure perceived external market opportunity for employees using survey results. Each survey will likely have a different set of questions or methodologies for measuring this dimension. The Market Opportunity Index measures employee perceptions of external job opportunities. In effect, it assesses whether employees perceive a new job would be easy or difficult to find. The metric is a proxy for the pull of a “tight” labor market, and it represents an exogenous factor—external opportunities—that the firm cannot control. Low results for Market Opportunity Index are likely to negatively impact employees’ commitment and likelihood to stay with the organization. Organizations can study undesirable results further to understand whether it can improve its standing among external market opportunities in employees’ eyes, if those employees are at risk of departing for external opportunities.",Survey,External opportunity perception item(s) , survey_responses , market_opportunity_index , Last 4 completed quarters ," Normalize to 0–100  Reverse-score if needed 	 Composite index 	 ","engagement, sentiment, Survey, Employee Turnover, External Threat 	 ",Represents exogenous labor market pull pressure.
17.07,Culture & Engagement,Outcome & Impact,Employee Retention Index,Relative measure of the likelihood that employees will remain with the organization.,Survey,Survey,Survey,Measure intent-to-stay or intent-to-leave to forecast turnover and identify emerging attrition risk.,employee intent to stay/leave for purposes of predicting employee turnover and/or as a tool for analytically deriving the reasons for turnover so they  can be addressed before they lead to broader turnover issues.,Employee Satisfaction: Retention,Retention,Listening A[i]gent,"Organizations typically measure likelihood of employee retention using survey results. Each survey will likely have a different set of questions or methodologies for measuring likelihood of employee retention. An Employee Retention Index measures the extent to which employees intend to leave the firm. It is based on survey questions assessing an employee’s intent to leave in the next year as well as actual job search behavior. Employee retention is thus distinct from employee commitment, which measures attachment to the firm and views of the firm as a great place to work. It is also distinct from employee engagement, which measures the effort and enthusiasm employees put into their daily work.",Survey,Intent-to-stay / intent-to-leave item(s) , survey_responses , retention_intent_score , Last 4 completed quarters ," Reverse-score intent-to-leave items  Normalize to 0–100 	 Composite retention intent index 	 Minimum response threshold 	 ","engagement, sentiment, Survey, Employee Turnover, Predictive 	 ",Distinct from commitment and engagement; measures likelihood of departure.
17.08,Culture & Engagement,Sentiment & Experience,Employee Committment Index,Relative measure of employee's commitment to the organization,Survey,Survey,Survey,Assess psychological attachment to the organization to predict voluntary turnover risk.,employee commitment for purposes of predicting employee turnover and/or as a tool for analytically deriving the reasons for low commitment so they can be addressed before they lead to turnover issues.,Employee Satisfaction,Committment,Listening A[i]gent,"Organizations typically measure employee commitment using survey results. Each survey will likely have a different set of questions or methodologies for measuring employee commitment. An Employee Commitment Index measures an employee’s attachment and commitment to the firm or corporation. It is based on a number of survey questions that measure employees’ commitment, such as their desire to spend their career with the firm and their views on the firm as a great place to work. Commitment is distinct from employee engagement, which measures the effort and enthusiasm employees put into their daily work.",Survey,Commitment scale item(s) , survey_responses , commitment_index , Last 4 completed quarters ," Normalize scale to 0–100  Reverse-score negatively worded items 	 Composite index 	 Minimum response threshold 	","engagement, sentiment,  Survey, Commitment, Employee Turnover 	 ","Leading indicator of voluntary attrition risk.		"
