Metric ID,Group,Metrics Category,Metric,Definition / Description,Formula,Numerator,Denominator,Application v2,Application,Analysis,Analysis Subtype,A[i]gent,Commentary / Interpretation,Data Source - Object,Data Source - Field,Data Store - Object,Data Store - Field,Time Rule,Transformation/ Import Logic,Tags,Notes
3.13,Workforce Planning,Cost Efficiency,Compensation Breakdown - Direct by Type (%Total),"Distribution of direct compensation by type, including base, overtime, bonus, incentives, etc.",(Direct Compensation Expense.[Compensation Type] / Direct Compensation Expense) * 100,(Direct Compensation Expense.[Compensation Type],Direct Compensation Expense,,,,,,"Direct Compensation Breakdown provides the percentages of direct compensation paid that are of various compensation types. Graphically, the data are presented as a percentage of the total direct compensation, i.e., a stacked bar graph. Direct compensation, contrasted with benefits and equity compensation, relates to cash payments for base pay, variable pay, overtime, and other cash payments such as sign-on bonuses and relocation allowances.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
3.11,Compenstion & Benefits,Cost Efficiency,Compensation Ratio - Market Comparision (% to Other Orgs),Ratio of employees’ direct compensation to market-comparable direct compensation.,Direct Compensation Expense / Market Comparable Direct Compensation,Direct Compensation Expense,Market Comparable Direct Compensation,,Market Comparison,,,,"Market Compensation Ratio provides the ratio of direct (cash) compensation provided by the employer to that provided by a comparable market group. A result of 80% means that the organization’s compensation offerings are 80% of the offerings of other organizations. These data are sometimes provided only for certain components of direct compensation (e.g., base salary and bonus), and may not be available for all positions within an organization.",HRIS — Employee Snapshot,,,,End-of-Period Snapshot,SUM value; divide by eligible headcount where applicable,"compensation, rewards",
3.16,Workforce Planning,Operational Performance,Bonus Receipt Rate (%of Workforce),Employees receiving a bonus as a percentage of total employees eligible to receive a bonus.,(End of Period Headcount.Receiving Bonus / End of Period Headcount.Bonus Eligible) * 100,End of Period Headcount.Receiving Bonus,End of Period Headcount.Bonus Eligible,,"Performance Evaluation, Finance Budgeting",,,,,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
3.17,Workforce Planning,Operational Performance,Bonus Eligibility Rate (%of Workforce),Percentage of employees eligible to receive a bonus.,(End of Period Headcount.Bonus Eligible / End of Period Headcount) * 100,End of Period Headcount.Bonus Eligible,#End of Period Headcount,,,,,,,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
3.19,Workforce Planning,Operational Performance,Bonus Rate - Actual to Potential ,Average actual bonus compensation received as a percentage of total potential bonus compensation.,(Direct Compensation Expense.Bonus / Bonus Potential) * 100,Direct Compensation Expense.Bonus,Bonus Potential,,,,,,,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
5.03,Culture & Engagement,Operational Performance,Grievance Rate (%of Workforce),The average number of grievances filed internally per employee.,(Grievances / Average Headcount) * 100,#Grievances,Average Headcount,,,,,,A result of 1% means that one grievance was filed for every 100 employees in headcount during the period.,HRIS — Employee Snapshot,,,, Last 4 completed quarters ,AVG score; normalize to 0–100 scale,"engagement, sentiment",
8.01,Mobility,Outcome & Impact,Upward Mobility %,"Promotions as a percentage of all internal movements, which include promotions, transfers, and demotions.",(Promotions / Internal Moovements)*100,Promotions,Internal Movements,,"Rate of promotion, relative to other movements, for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"An Upward Mobility result of 40% means that 40% of internal movements for the period were promotions, while the other 60% were transfers and demotions.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, attrition reduction.",
8.02,Mobility,Operational Performance,Transfer Rate,Percentage of employees that were transferred during the reporting period.,(Transfers / Average Headcount) * 100,Transfers,Average Headcount,,"Internal employee movement for purposes of Workforce Planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"Transfer Rate indicates the percentage of the workforce that has experienced a transfer action during the period. For example, a Transfer Rate of 20% means that 20% of employees in the organization have transferred internally within the period.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",
8.03,Mobility,Operational Performance,Tenure - Promotion Speed Ratio (Average pre-promo),"Average position tenure, in years, prior to promotion.",Total Position Tenure Prior to Promotion / Promotions,Total Position Tenure Prior to Promotion,Promotions,,"Measurement of promotions for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"Promotion Speed Ratio indicates, for employees that were promoted during the period, their average tenure in position prior to promotion. For example, an employee promoted two years after being hired into a position has a Promotion Speed Ratio equal to two years.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",
8.04,Mobility,Outcome & Impact,Promotion Rate (%of Workforce),Percentage of employees that were promoted during the reporting period.,Promotions / Average Headcount * 100,Promotions,Average Headcount,,"Measurement of promotions for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"For example, a Promotion Rate of 5% means 5% of employees in the organizations have received promotions within the reporting period.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",
8.05,Mobility,Operational Performance,Lateral Mobility (Transfers),"Transfers as a percentage of all internal movements, including transfers, promotions, and demotions.",(Transfers / Internal Movements) * 100,Transfers (Lateral),"Internal Movements (lateral, promotuons, demotions)",,"Measurement of lateral movement across the organization for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"A Lateral Mobility result of 40% means that 40% of internal movements for the period were transfers, while the other 60% were promotions or demotions.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",
8.06,Mobility,Operational Performance,Internal Placement Rate (% of Hires),Internal hires as a percentage of total hires during the reporting period.,(Internal Hires / (External Hires + Internal Hires))*100,Internal Hires,Total Hires (External Hires + Internal),Recruiting process planning & required resources,"Measurement of strategies involving the mix of internal versus external hires for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",Workforce planning,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,An internal Placement Rate of 60% means that 60% of the organization's appointments to vacant positions were from internal talent rather than from external hires.,HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",
8.07,Mobility,Outcome & Impact,Internal Hire Rate (%of Workforce),"Percentage of employees that moved internally during the reporting period, including transfers, promotions, or demotions.",(Internal Movements / Average Headcount) * 100,Internal Movements,Average Headcount,,"Measurement of the movement of internal talent for purposes of workforce planning that may include talent development, quality of hire, cost reduction, or time to fill.",,,,"Internal hire rate indicates the percentage of the workforce that has moved internally during the period. Internal movements are those resulting from employees' internal job changes within the organization, whether through actions of transfer, promotion, or demotion. For example, an internal hire rate of 40% means that 40% of employees in the organization have experienced one of these movements within the period.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, or time to fill.",
8.08,Mobility,Operational Performance,Cross-Function Mobility,Movements between functions as a percentage of total internal movements.,(Internal Movements.Function Change / Internal Movements) * 100,Internal Movements Function Change,Internal Movements,,Measurement of developmental programs that focus on building cross- functional opportunities for leadership development or skill broadening.,,,,"Cross-Function Mobility indicates the percentage of internal movements that involve employees moving from one functional area to another, such as from Finance to Marketing or from Sales to Operations. Internal movements are those resulting from an employee's internal job changes within the organizations, regardless of function, whether through transfer, promotion, or demotion. A Cross-Function Mobility result of 40% means that 40% of internal movements for the period involved moves from one function to another, while the other 60% were movements within a function.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,leadership development or skill broadening.,
8.09,Mobility,Outcome & Impact,Career Path Ratio (Transfers --> Promotions),Number of employees internally promoted for every employee internally transferred to a new position.,Promotions / Transfers,Promotions,Transfers,,"To gauge the success of internal development of managers, performance management process controls, or other workforce planning.",,,,"Career Path Ratio indicates the ratio of promotions to transfers that occurred within a period. A Career Path Ratio of .5 (i.e, a ratio of 1:2) means that there were two transfers for each promotion that occurred within the period.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"mobility, internal movement",
9.03,Workforce Planning,Outcome & Impact,Positions Without Ready Candidates Rate,Percentage of managerial positions that do not have “ready” candidates identified for potential succession.,(End of Period Headcount.Manager.Succession-Applicable.No Ready Candidate / End of Period Headcount.Manager.Succession-Applicable) * 100,End of Period Headcount.Manager.Succession-Applicable.No Ready Candidate,End of Period Headcount.Manager.Succession-Applicable,,,,,,Positions Without Ready Candidates Rate indicates the percentage of managerial positions that require succession management focus but do not have a “ready” candidate identified. A result of 20% means that 20% of succession-applicable managerial positions do not have successor candidates identified that are ready to assume the position immediately if needed.,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
9.05,Workforce Planning,Outcome & Impact,Manager Instability Index,The percentage of employees who have had more than one manager within the most recent 12 months.,(End of Period Headcount.>1 Supervisor in Previous 1-Year Period / End of Period Headcount) * 100,End of Period Headcount.>1 Supervisor in Previous 1-Year Period,End of Period Headcount,,,,,,A result of 30% means that 30% of employees have had a change in direct supervisor within the past year.,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
9.08,Mobility,Operational Performance,Cross-Functional Mobility Managers,Internal movements of managers between functions as a percentage of total internal movements of managers.,(Internal Movements.Managers.Cross Function / Internal Movements.Managers) *100,Internal Movements.Managers.Cross Function,Internal Movements.Managers,,,,,,,HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"mobility, internal movement",
17.02,Workforce Planning,Cost Efficiency,Termination Value Per FTE ($Cost),The value of all terminations during the period per full-time equivalent employee.,Total Termination Value / FTE,Total Termination Value,FTE,,Employee turnover analysis,,,,"Termination Value per FTE represents the cost of all terminations to the organization, relative to workforce size. Employee terminations can carry direct costs as well as efficiency and productivity costs or customer service deterioration. Direct costs include departure costs (e.g., accrued vacation), vacancy costs (e.g., temporary replacement help, recruiting advertising), and new hire costs (e.g., screening, relocation, increased salary over previous employee). Other costs can include decreased morale, lost productivity while peers “cover” the vacancy, the lost productivity of recruiters and hiring managers for recruiting a replacement, and the ramp-up time to productivity required for the replacement employee.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
