Metric ID,Group,Metrics Category,Metric,Definition / Description,Formula,Numerator,Denominator,Application / Measure,A[i]gent,Commentary / Interpretation,Data Source - Object,Data Source - Field,Data Store - Object,Data Store - Field,Time Rule,Transformation/ Import Logic,Tags,Notes
15.01,Staffing Effectiveness,Cost Efficiency,Turnover Cost Rate - < 1-Year Tenure % - SEE 17.01,Cost of turnover for employees with less than one year of tenure as a percentage of the total turnover cost.,Total Termination Value.< 1-Year Tenure / Total Termination Value,Total Termination Value.< 1-Year Tenure,Total Termination Value,Staffing Effectiveness | Cost of low tenure employee attrition. Also as a measure of staffing effectiveness.,,"Turnover Cost Rate—< 1-Year Tenure measures the percentage of termination costs that come from employees with less than one year of tenure. While this measure does not indicate whether turnover costs among low-tenure employees is high or low, it does indicate the extent to which the turnover costs are driven by low-tenure employees. A result of 40% means that 40% of all termination costs are from these low-tenure employees. Most organizations experience their highest turnover among low-tenure employees. Low-tenure terminations carry with them similar costs and productivity losses to other terminations. However, low-tenure terminations might also signal potential failures of recruiting and onboarding processes. Therefore, New Hire Turnover Contribution can help an employer to approximate the magnitude of turnover costs driven by recruiting and onboarding issues as compared to other potential turnover issues. The higher the result for this measure, the greater the volume of turnover costs that might be prevented through recruiting and onboarding improvement.",,,,,,,"recruiting issues, onboarding issues"
15.03,Staffing Effectiveness,Cost Efficiency,Sign-On Bonus Rate (%External Hires),Percentage of external hires receiving a sign-on bonus.,(External Hires.Sign-On Bonus / External Hires) * 100,External Hires.Sign-On Bonus ,External Hires ,Measurement of the usage of Sign-On Bonuses.
15.06,Staffing Effectiveness,Cost Efficiency,Recruitment Expense Breakdown %,"Distribution of recruitment expenses by type, such as travel, advertising, compensation, etc. | Share of total recruiting expense by expense type.",(Recruitment Expense.[Type] / Recruitment Expense) * 100 | sum( expense_amount where type=T ) / sum( expense_amount ),Recruitment Expense.[Type],Total Recruiting Expense,"recruiting costs Isolating and wish to monitor the relative magnitude of direct costs, such as relocation allowances and agency fees.",,"Recruitment costs include direct costs of filling positions, such as advertising costs, agency fees, travel reimbursement of candidates or interviewers, screening tests, and relocation allowances. Recruitment costs are also likely to include the overhead costs of running a recruiting function, such as the salaries of recruiters, the costs of maintaining a resume bank, the costs of sending communications or printing collateral, etc. In addition, recruitment expenses can include indirect productivity costs of hiring managers and other called upon to interview candidates, though such costs are difficult to quantify.",,,,,Bucketed (Reporting TZ),,,Useful for channel ROI and budget planning.
15.07,Staffing Effectiveness,Cost Efficiency,Recruitment Cost per Hire,"Recruitment expense per hire, including internal and external hires. | Total recruitment expense divided by number of hires.",Recruitment Expense / Hires | sum( recruiting_expense ) / count( hires ),Total recruiting expense,Hires,Measurement of recruiting efficiency. | ,,"advertising costs, agency fees, travel reimbursement of candidates or interviewers, screening tests, and relocation allowances. Recruitment costs are also likely to include the overhead costs of running a recruiting function, such as the salaries of recruiters, the costs of maintaining a resume bank, the costs of sending communications or printing collateral, etc. In addition, recruitment expenses can include indirect productivity costs of hiring managers and other called upon to interview candidates, though such costs are difficult to quantify.",,,,,Bucketed (Reporting TZ),,,"Break out by channel (ads, agency, tools, events)."
15.17,Staffing Effectiveness,Cost Efficiency,"Sign-On Bonus Expense, Average",Average sign-on bonus received by external hires given a sign-on bonus.,Sign-On Bonus Expense / External Hires.Sign-On Bonus,Sign-On Bonus Expense,External Hires.Sign-On Bonus,usage of sign-on bonuses,,,,,,,,,CNVR
14.22,Recruiting,Decision Integrity,Decision Consistency Rate,Measures how consistently similar candidate profiles receive the same screening decision across reviewers. Why it matters: High variation indicates unstable application of judgment.
14.23,Recruiting,Decision Integrity,Rubric Adherence Rate,Measures how often screening decisions align with defined must-have criteria and scoring thresholds. Example: Candidate scores 82; threshold is 75; decision = Reject → misalignment. Why it matters: Ensures screening decisions reflect agreed standards.
14.24,Recruiting,Decision Integrity,Screening Predictive Strength,"Measures whether screening score bands meaningfully differentiate downstream candidate performance. Example: Strong band → 70% pass HM screen, Borderline → 35%, Weak → 10% = strong (equal rates across bands = weak signals | Why it matters: Indicates whether screening produces real signal or noise."
14.25,Recruiting,Decision Integrity,Early False Negative Risk,Estimates the likelihood that candidates meeting rubric criteria were rejected during screening. Why it matters: Identifies hidden talent loss.
14.26,Recruiting,Decision Integrity,Calibration Stability,"Measures whether screening thresholds shift across time or reviewers. Example: Q1 threshold = 70, Q3 threshold = 80 → drift | Why it matters: Prevents silent tightening or loosening of standards. Indicates demand exceeds resources."
14.01,Recruiting,Operational Performance,Rehire Rate,Rehires as a percentage of total external hires.,(Rehires / External Hires) *100,Rehires,External Hires ,"Useful for organizations that have specific initiatives around rehires, such as alumni tracking processes or alumni networks.",,Rehire Rate indicates the percentage of external hires during the period that are former employees of the organization.,,,,,,,CSAT
14.02,Recruiting,Operational Performance,Recruitment Source Ratio (Internal vs External),Number of internal hires for every external hire.,Internal Hires / External Hires,Internal Hires,External Hires ,"For one reason or another the organization may wish to tilt recruitment toward hiring internally or externally or may have a specific ratio in mind. Reasons include reducing recruitment expenses, increasing hiring quality, increasing retention rates, increasing internal development opportunities, etc.",,"A recruitment ratio of four means that the organization has made four internal placements to vacant positions for every one external hire. Internal hires are often calculated to include all internal movements, such as transfers, promotions, and demotions.",,,,,,,"reducing recruitment expenses, increasing hiring quality, increasing retention rates, increasing internal development opportunities, etc."
14.03,Recruiting,Operational Performance,Recruitment Source Breakdown (%of Total),"Distribution of external hires by recruitment source, including referral, rehire, agency, etc.",(External Hires.[Source Group] / External Hires ) *100,External Hires.[Source Group],External Hires ,"Determining the % of hiring by source. For one reason or another the organization may wish to tilt recruitment toward particular sources. Reasons may include reducing recruitment expenses, increasing hiring quality, increasing retention rates, etc.",,,,,,,,,"reducing recruitment expenses, increasing hiring quality, increasing retention rates, etc."
14.04,Recruiting,Operational Performance,New Position Recruitment Ratio (New role vs backfill),"Ratio of new position hires to replacement hires, including internal and external hires.",Hires.New Positions / Hires.Replacement Positions,Hires.New Positions,Hires.Replacement Positions,rate of change of job roles.,,"New Position Recruitment Ratio compares the number of newly created positions to the number of replacement positions during a period. In other words, across all the organization's hires, how many are into new positions and how many are replacing people who have terminated or transferred out of existing positions? A result of this measure of .5 indicates there was one new position hire for every two replacement position hires during the period."
14.05,Recruiting,Operational Performance,New Position Recruitment Rate (New role hires %of headcount),"Hires into newly created positions (including internal and external hires), as a percentage of average headcount.",(Hires.New Positions / Average Headcount) * 100,Hires.New Positions,Average Headcount,rate of change of job roles.,,"New Position Recruitment Rate shows the number of newly created positions in relation to the size of the workforce. A ""new position"" is not necessarily one for which the title and the role have never existed before filling a new position may mean expanding a group of four analysts to become five analysts, or it may mean creating a Marketing Analyst position whose title did not previously exist for the organization."
14.06,Recruiting,Operational Performance,Net Hire Ratio (Hire:Termination),The number of external hires for every termination during the reporting period.,External Hires / Terminations,External Hires  ,Terminations,Monitoring headcount levels over time in support of cost management initiatives or growth strategies.,,Net Hire Ratio measures the total number of external hires that replace terminated employees.,,,,,,,"cost management, growth strategies."
14.07,Recruiting,Operational Performance,External Hire Rate (%of Headcount),External hires as a percentage of average headcount during the reporting period.,(External Hires / Average Headcount) * 100,External Hires  ,Average Headcount,,,"This measure is used to monitor ""churn"" of the workforce, the rate at which employees are entering the organization, and the hiring volume as an outcome of recruitment activities."
14.09,Recruiting,Operational Performance,"Decision Latency (days, median)",Days from decision request created to decision logged in pilot functions.,median( decision_dt - request_dt ),Decisions closed,Decision requests,,,,,,,,Duration (UTC),,CONVR,Log decision type and escalation path.
14.10,Recruiting,Operational Performance,HM SLA Compliance %,Share of HM actions (feedback/decisions) taken within SLA.,count( actions_within_SLA ) / count( actions_required ),On-time HM actions,Required HM actions,,,,,,,,Business-day (Local),,CONVR,Show by team to target coaching.
14.11,Recruiting,Operational Performance,Interviewer Load Balance,Distribution of interviews per interviewer vs. target range.,count( interviewer_weeks within target ) / count( interviewer_weeks ),Weeks within target,All interviewer-weeks,,,,,,,,Bucketed (Reporting TZ),,CONVR,Optional: show Gini coefficient alongside.
14.12,Recruiting,Operational Performance,Meeting Hours / FTE (weekly),Sum of meeting hours per FTE per week in pilot functions.,sum( meeting_duration_hrs ) / count( FTE ),Meeting hours,FTE count,,,,,,,,Duration (UTC),,,Use consistent working-hours definition.
14.13,Recruiting,Operational Performance,No-Show %,Share of scheduled interviews where the candidate or interviewer did not attend.,"count( interview_status in {No Show, Canceled Late} ) / count( scheduled_interviews )",No-shows and late cancels,Scheduled interviews,,,,,,,,Bucketed (Reporting TZ),,CONVR,Track candidate vs interviewer separately.
14.14,Recruiting,Operational Performance,On-time Scorecards % (≤24h),Share of submitted scorecards received within 24 hours of interview end.,count( scorecard_submitted_dt - interview_end_dt ≤ 24h ) / count( scorecards ),On-time scorecards (≤24h),All scorecards,,,,,,,,Duration (UTC),,CONVR,Break out by HM vs panel to target nudges.
14.15,Recruiting,Operational Performance,Pass-through %: App → Screen,Share of applications that progress to recruiter screen.,count( moved_to_screen ) / count( applications ),Applications with screen date,Applications,,,,,,,,Bucketed (Reporting TZ),,CONVR,"Pass-throughs: Denominator = candidates who ENTERED the stage in the period; Numerator = those who LATER reached the next stage (allow lag across weeks).
Cohorting: Use apply week (App→Screen) and stage-entry week for all pass-through denominators; do not mix with event week."
14.16,Recruiting,Operational Performance,Pass-through %: Final → Offer,Share of final loops that result in an offer.,count( offers.sent ) / count( final_loops ),Offers sent,Final loops,,,,,,,,Bucketed (Reporting TZ),,CONVR,"Pass-throughs: Denominator = candidates who ENTERED the stage in the period; Numerator = those who LATER reached the next stage (allow lag across weeks).
Cohorting: Use apply week (App→Screen) and stage-entry week for all pass-through denominators; do not mix with event week."
14.17,Recruiting,Operational Performance,Pass-through %: HM → Final,Share of HM interviews that progress to final loop.,count( moved_to_final ) / count( HM_interviews ),HM interviews with final date,HM interviews,,,,,,,,Bucketed (Reporting TZ),,CONVR,"Pass-throughs: Denominator = candidates who ENTERED the stage in the period; Numerator = those who LATER reached the next stage (allow lag across weeks).
Cohorting: Use apply week (App→Screen) and stage-entry week for all pass-through denominators; do not mix with event week."
14.18,Recruiting,Operational Performance,Pass-through %: Offer → Hire,Share of offers that result in a hire.,count( hires ) / count( offers.sent ),Hires,Offers sent,,,,,,,,Bucketed (Reporting TZ),,CONVR,"Pass-throughs: Denominator = candidates who ENTERED the stage in the period; Numerator = those who LATER reached the next stage (allow lag across weeks).
Cohorting: Use apply week (App→Screen) and stage-entry week for all pass-through denominators; do not mix with event week."
14.19,Recruiting,Operational Performance,Pass-through %: Screen → HM,Share of screens that progress to HM interview.,count( moved_to_HM ) / count( screens ),Screens with HM date,Screens,,,,,,,,Bucketed (Reporting TZ),,CONVR,"Pass-throughs: Denominator = candidates who ENTERED the stage in the period; Numerator = those who LATER reached the next stage (allow lag across weeks).
Cohorting: Use apply week (App→Screen) and stage-entry week for all pass-through denominators; do not mix with event week."
14.20,Recruiting,Operational Performance,"Time-to-Hire (days, median)",Calendar days from application submission to offer acceptance (or hire) for filled requisitions.,median( offer_accepted_dt - application_dt ),Offer accepted dates,Applications with accepted offers,,,,,,,,Duration (UTC),,CONVR,"If using 'hire_dt' instead of 'offer_accepted_dt', note in version."
14.21,Recruiting,Operational Performance,"Time-to-Schedule (hours, median)",Hours from interview request creation to first scheduled interview start time.,median( interview_start_dt - interview_request_dt ) * 24,Scheduled interview start times,Interview requests,,,,,,,,Duration (UTC),,CONVR,Use UTC or local consistently.
